path,source,species,venom_label,license,width,height,dup_cluster_id,is_representative,split
e:\Coding_Notes\Faunari\data\raw\inaturalist\347286759.jpg,inaturalist,Oligodon taeniolatus,non_venomous,cc-by-nc,281,500,68,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\347335378.jpg,inaturalist,Grypotyphlops acutus,non_venomous,,500,375,69,True,test
e:\Coding_Notes\Faunari\data\raw\inaturalist\347380184.jpg,inaturalist,Dendrelaphis tristis,non_venomous,cc-by-nc,333,500,70,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\347424780.jpg,inaturalist,Daboia russelii,venomous,cc-by-nc,375,500,71,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\347427790.jpg,inaturalist,Ptyas mucosa,non_venomous,cc-by-nc,375,500,72,True,test
e:\Coding_Notes\Faunari\data\raw\inaturalist\347443644.jpg,inaturalist,Ptyas mucosa,non_venomous,cc-by-nc,500,281,73,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\347443685.jpg,inaturalist,Ptyas mucosa,non_venomous,cc-by-nc,500,281,74,True,val
e:\Coding_Notes\Faunari\data\raw\inaturalist\347460555.jpg,inaturalist,Eryx whitakeri,non_venomous,cc-by-nc,500,281,75,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\347460556.jpg,inaturalist,Eryx whitakeri,non_venomous,cc-by-nc,281,500,76,True,test
e:\Coding_Notes\Faunari\data\raw\inaturalist\347482198.jpg,inaturalist,Fowlea piscator,non_venomous,cc-by-nc,282,500,77,True,val
e:\Coding_Notes\Faunari\data\raw\inaturalist\347486328.jpg,inaturalist,Ptyas korros,non_venomous,,375,500,78,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\347492525.jpg,inaturalist,Fowlea piscator,non_venomous,,281,500,79,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\347502123.jpg,inaturalist,Amphiesma stolatum,non_venomous,,500,333,80,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\347506023.jpg,inaturalist,Oligodon tillacki,non_venomous,cc-by-nc,500,281,81,True,test
e:\Coding_Notes\Faunari\data\raw\inaturalist\347507851.jpg,inaturalist,Ptyas mucosa,non_venomous,cc-by,500,330,82,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\347524631.jpg,inaturalist,Python molurus,non_venomous,cc-by-nc,375,500,83,True,test
e:\Coding_Notes\Faunari\data\raw\inaturalist\347540081.jpg,inaturalist,Craspedocephalus malabaricus,venomous,cc-by-nc,500,254,84,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\347551004.jpg,inaturalist,Oligodon tillacki,non_venomous,,375,500,85,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\347563536.jpg,inaturalist,Echis carinatus,venomous,,500,500,86,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\347698770.jpg,inaturalist,Fowlea piscator,non_venomous,cc-by-nc,500,281,87,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\347703626.jpg,inaturalist,Oligodon tillacki,non_venomous,cc-by-nc,375,500,88,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\347721220.jpg,inaturalist,Fowlea piscator,non_venomous,,231,500,89,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\347732737.jpg,inaturalist,Craspedocephalus gramineus,venomous,cc-by-nc,500,333,90,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\347732796.jpg,inaturalist,Ptyas mucosa,non_venomous,,500,455,91,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\347736203.jpg,inaturalist,Platyceps ventromaculatus,non_venomous,cc-by-nc,500,374,92,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\347739622.jpg,inaturalist,Lycodon fasciolatus,non_venomous,cc-by-nc,281,500,93,True,val
e:\Coding_Notes\Faunari\data\raw\inaturalist\347747219.jpg,inaturalist,Boiga trigonata,non_venomous,cc-by-nc,285,500,94,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\347747881.jpg,inaturalist,Craspedocephalus gramineus,venomous,cc-by-nc,300,500,95,True,val
e:\Coding_Notes\Faunari\data\raw\inaturalist\347748950.jpg,inaturalist,Craspedocephalus anamallensis,venomous,cc-by,293,500,96,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\347752788.jpg,inaturalist,Lycodon aulicus,non_venomous,cc-by-nc,387,500,97,True,hardcase
e:\Coding_Notes\Faunari\data\raw\inaturalist\347767085.jpg,inaturalist,Oligodon arnensis,non_venomous,cc-by-nc,500,282,98,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\347767464.jpg,inaturalist,Naja naja,venomous,,278,500,99,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\347768182.jpg,inaturalist,Atretium schistosum,non_venomous,cc-by-nc,282,500,100,True,test
e:\Coding_Notes\Faunari\data\raw\inaturalist\347771049.jpg,inaturalist,Naja naja,venomous,cc-by-nc,500,248,101,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\347794248.jpg,inaturalist,Psammophis leithii,non_venomous,cc-by,500,375,102,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\347913881.jpg,inaturalist,Eryx conicus,non_venomous,cc-by-nc,375,500,103,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\347973188.jpg,inaturalist,Indotyphlops braminus,non_venomous,cc-by,500,375,104,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\347985258.jpg,inaturalist,Ptyas mucosa,non_venomous,,225,500,105,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\347989847.jpg,inaturalist,Oligodon affinis,non_venomous,,500,375,106,True,test
e:\Coding_Notes\Faunari\data\raw\inaturalist\347989848.jpg,inaturalist,Sahyadriophis beddomei,non_venomous,,500,375,107,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\347990491.jpg,inaturalist,Eryx conicus,non_venomous,cc-by-nc,500,375,108,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\347990847.jpg,inaturalist,Ptyas mucosa,non_venomous,cc-by-nc,489,500,109,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\347994970.jpg,inaturalist,Ahaetulla oxyrhynca,non_venomous,,500,375,110,True,val
e:\Coding_Notes\Faunari\data\raw\inaturalist\347995132.jpg,inaturalist,Ptyas mucosa,non_venomous,,500,375,111,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\347996409.jpg,inaturalist,Ptyas mucosa,non_venomous,,224,500,112,True,hardcase
e:\Coding_Notes\Faunari\data\raw\inaturalist\347998062.jpg,inaturalist,Ptyas mucosa,non_venomous,,375,500,113,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\347998361.jpg,inaturalist,Python molurus,non_venomous,,281,500,114,True,test
e:\Coding_Notes\Faunari\data\raw\inaturalist\348015244.jpg,inaturalist,Craspedocephalus gramineus,venomous,cc-by-nc,375,500,115,True,val
e:\Coding_Notes\Faunari\data\raw\inaturalist\348020819.jpg,inaturalist,Eryx conicus,non_venomous,cc-by-nc,281,500,116,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\348040092.jpg,inaturalist,Ptyas mucosa,non_venomous,cc-by-nc,375,500,117,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\348042677.jpg,inaturalist,Amphiesma stolatum,non_venomous,,225,500,118,True,val
e:\Coding_Notes\Faunari\data\raw\inaturalist\348052623.jpg,inaturalist,Naja naja,venomous,cc-by-nc,325,500,119,True,hardcase
e:\Coding_Notes\Faunari\data\raw\inaturalist\348056419.jpg,inaturalist,Python molurus,non_venomous,,500,375,120,True,test
e:\Coding_Notes\Faunari\data\raw\inaturalist\348057638.jpg,inaturalist,Boiga trigonata,non_venomous,cc-by-nc,500,281,121,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\348058987.jpg,inaturalist,Fowlea piscator,non_venomous,cc-by-nc,500,281,122,True,test
e:\Coding_Notes\Faunari\data\raw\inaturalist\348066653.jpg,inaturalist,Ptyas mucosa,non_venomous,cc-by-nc,500,230,123,True,hardcase
e:\Coding_Notes\Faunari\data\raw\inaturalist\348083620.jpg,inaturalist,Chrysopelea ornata,non_venomous,,500,375,124,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\348167424.jpg,inaturalist,Python molurus,non_venomous,cc-by-nc,500,333,125,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\348167441.jpg,inaturalist,Python molurus,non_venomous,cc-by-nc,500,337,126,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\348236890.jpg,inaturalist,Ahaetulla oxyrhynca,non_venomous,cc-by-nc,225,500,127,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\348247311.jpg,inaturalist,Naja naja,venomous,cc-by-nc,500,406,128,True,hardcase
e:\Coding_Notes\Faunari\data\raw\inaturalist\348249752.jpg,inaturalist,Indotyphlops braminus,non_venomous,cc-by-nc,281,500,129,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\348250816.jpg,inaturalist,Amphiesma stolatum,non_venomous,,225,500,130,True,hardcase
e:\Coding_Notes\Faunari\data\raw\inaturalist\348258389.jpg,inaturalist,Ophiophagus hannah,venomous,cc-by-nc,281,500,131,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\348258719.jpg,inaturalist,Naja naja,venomous,cc-by-nc,282,500,132,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\348264093.jpg,inaturalist,Lycodon aulicus,non_venomous,cc-by-nc,500,281,133,True,hardcase
e:\Coding_Notes\Faunari\data\raw\inaturalist\348266984.jpg,inaturalist,Eryx conicus,non_venomous,cc-by-nc,500,282,134,True,val
e:\Coding_Notes\Faunari\data\raw\inaturalist\348267546.jpg,inaturalist,Amphiesma stolatum,non_venomous,cc-by-nc,281,500,135,True,test
e:\Coding_Notes\Faunari\data\raw\inaturalist\348270287.jpg,inaturalist,Bungarus caeruleus,venomous,cc-by-nc,281,500,136,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\348271615.jpg,inaturalist,Eryx conicus,non_venomous,cc-by-nc,302,500,137,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\348286153.jpg,inaturalist,Eryx conicus,non_venomous,cc-by-nc,281,500,138,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\348296861.jpg,inaturalist,Lycodon travancoricus,non_venomous,,281,500,139,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\348329472.jpg,inaturalist,Ptyas mucosa,non_venomous,cc-by-nc,226,500,140,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\348329637.jpg,inaturalist,Coelognathus helena monticollaris,non_venomous,cc-by-nc,281,500,141,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\348437434.jpg,inaturalist,Ptyas mucosa,non_venomous,cc-by-nc,500,340,142,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\348437474.jpg,inaturalist,Ptyas mucosa,non_venomous,cc-by-nc,362,500,143,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\348439583.jpg,inaturalist,Fowlea tytleri,non_venomous,cc-by-nc,500,286,144,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\348447951.jpg,inaturalist,Fowlea piscator,non_venomous,cc-by-nc,500,375,145,True,val
e:\Coding_Notes\Faunari\data\raw\inaturalist\348453013.jpg,inaturalist,Ophiophagus hannah,venomous,cc-by,228,500,146,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\348456400.jpg,inaturalist,Dendrelaphis tristis,non_venomous,cc-by-nc,281,500,147,True,val
e:\Coding_Notes\Faunari\data\raw\inaturalist\348457693.jpg,inaturalist,Boiga trigonata,non_venomous,cc-by-nc,281,500,148,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\348458568.jpg,inaturalist,Rhabdophis plumbicolor,non_venomous,cc-by-nc,500,281,149,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\348491312.jpg,inaturalist,Ptyas mucosa,non_venomous,cc-by-nc,346,500,150,True,hardcase
e:\Coding_Notes\Faunari\data\raw\inaturalist\348503581.jpg,inaturalist,Fowlea piscator,non_venomous,cc-by-nc,500,312,151,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\348512453.jpg,inaturalist,Lycodon striatus,non_venomous,cc-by-nc,454,500,152,True,val
e:\Coding_Notes\Faunari\data\raw\inaturalist\348643795.jpg,inaturalist,Ptyas mucosa,non_venomous,,500,333,153,True,hardcase
e:\Coding_Notes\Faunari\data\raw\inaturalist\348644097.jpg,inaturalist,Bungarus caeruleus,venomous,,500,333,154,True,hardcase
e:\Coding_Notes\Faunari\data\raw\inaturalist\348646683.jpg,inaturalist,Fowlea piscator,non_venomous,,500,375,155,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\348660951.jpg,inaturalist,Fowlea piscator,non_venomous,cc-by-nc,375,500,156,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\348661022.jpg,inaturalist,Daboia russelii,venomous,cc-by-nc,375,500,157,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\348669948.jpg,inaturalist,Fowlea piscator,non_venomous,cc-by-nc,500,389,158,True,val
e:\Coding_Notes\Faunari\data\raw\inaturalist\348677781.jpg,inaturalist,Dendrelaphis tristis,non_venomous,cc-by-nc,500,354,159,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\348681708.jpg,inaturalist,Oligodon albocinctus,non_venomous,,375,500,160,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\348691616.jpg,inaturalist,Ptyas mucosa,non_venomous,cc-by-nc,225,500,161,True,hardcase
e:\Coding_Notes\Faunari\data\raw\inaturalist\348693303.jpg,inaturalist,Craspedocephalus gramineus,venomous,cc-by-nc,228,500,162,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\348698775.jpg,inaturalist,Indotyphlops braminus,non_venomous,cc-by-nc,281,500,163,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\348733897.jpg,inaturalist,Fowlea piscator,non_venomous,cc-by,500,281,164,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\348740088.jpg,inaturalist,Fowlea piscator,non_venomous,cc-by-nc,500,333,165,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\348790819.jpg,inaturalist,Lycodon aulicus,non_venomous,cc-by-nc,225,500,166,True,hardcase
e:\Coding_Notes\Faunari\data\raw\inaturalist\348862469.jpg,inaturalist,Fowlea piscator,non_venomous,cc-by-nc,375,500,167,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\348862545.jpg,inaturalist,Eryx whitakeri,non_venomous,cc0,500,375,168,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\348863122.jpg,inaturalist,Fowlea piscator,non_venomous,cc0,281,500,169,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\348878733.jpg,inaturalist,Cerberus rynchops,non_venomous,cc-by-nc,500,375,170,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\348921811.jpg,inaturalist,Ptyas korros,non_venomous,cc-by-nc,374,500,171,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\348936648.jpg,inaturalist,Eryx conicus,non_venomous,cc-by,375,500,172,True,val
e:\Coding_Notes\Faunari\data\raw\inaturalist\348942918.jpg,inaturalist,Craspedocephalus malabaricus,venomous,cc-by-nc,500,375,173,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\348952408.jpg,inaturalist,Oligodon russelius,non_venomous,cc-by-nc,500,375,174,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\348977412.jpg,inaturalist,Fowlea piscator,non_venomous,cc-by-nc,500,375,175,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\348982524.jpg,inaturalist,Spalerosophis diadema,non_venomous,cc-by-nc,500,375,176,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\348996727.jpg,inaturalist,Cerberus rynchops,non_venomous,cc-by-nc,500,333,177,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\349002565.jpg,inaturalist,Fowlea piscator,non_venomous,cc-by-nc,500,375,178,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\349007813.jpg,inaturalist,Daboia russelii,venomous,cc-by-nc,375,500,179,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\349009933.jpg,inaturalist,Ptyas mucosa,non_venomous,cc-by-nc,500,375,180,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\349027274.jpg,inaturalist,Oligodon taeniolatus,non_venomous,cc-by-nc,374,500,181,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\349038521.jpg,inaturalist,Ptyas mucosa,non_venomous,cc-by,500,344,182,True,test
e:\Coding_Notes\Faunari\data\raw\inaturalist\349147556.jpg,inaturalist,Amphiesma stolatum,non_venomous,cc-by,375,500,183,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\349153676.jpg,inaturalist,Ptyas mucosa,non_venomous,cc-by-nc,500,333,184,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\349161227.jpg,inaturalist,Fowlea piscator,non_venomous,cc-by,375,500,185,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\349163819.jpg,inaturalist,Dendrelaphis tristis,non_venomous,cc-by-nc,375,500,186,True,test
e:\Coding_Notes\Faunari\data\raw\inaturalist\349168124.jpg,inaturalist,Oligodon taeniolatus,non_venomous,cc-by-nc,500,344,187,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\349169125.jpg,inaturalist,Oligodon taeniolatus,non_venomous,cc-by-nc,375,500,188,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\349170214.jpg,inaturalist,Amphiesma monticola,non_venomous,cc-by-nc,500,332,189,True,train
